,r2,rmse,kendall,spearman,mape,month,source
ESQUIAS,-1.3670411455312825,177.8604184916788,0.1111111111111111,0.24848484848484845,71.62881133590567,1,imerg
LA ERMITA,-1.1464219552735226,189.3655146663783,0.1176470588235294,0.18627450980392157,108.17973223872077,1,imerg
SULACO,-1.2099463338962178,76.62679520298391,-0.022222222222222223,0.006060606060606061,364.37501105741853,1,imerg
PLAYITAS,-4.06272068543757,115.17426788400643,0.3173453339852008,0.43531583902551013,276.5407337580087,1,imerg
FLORES,-1.1056400139915241,206.27397860056303,0.08823682071944683,0.052677807835461686,395.3279360459649,1,imerg
PITO SOLO,-6.691478056538612,16499.26339569979,0.022222222222222223,0.05454545454545454,81.69670306967211,1,imerg
SANTA ELENA,-6.465232345730002,7230.525440780257,-0.06666666666666667,-0.06666666666666665,80.85553436320193,1,imerg
SANTA ROSA DE COPAN,-2.7469902552694303,1746.546628091591,0.20580546572992364,0.29259122039076174,76.3805540885698,1,imerg
EL NISPERO,-2.3347992310647596,424.8564233569582,0.4666666666666666,0.6242424242424242,73.7665030990058,1,imerg
LA UNION,-3.6714225953421566,4296.86980021666,0.15555555555555553,0.19999999999999998,88.34403675911592,1,imerg
SAN JOSE DE LA MONTAÃ‘A,-0.6468899315048195,4297.042317512327,0.5555555555555555,0.7212121212121211,87.157959409246,1,imerg
SANTA RITA,-3.034450060416513,4680.269091732753,-0.06666666666666667,-0.05454545454545454,277.680405236105,1,imerg
LA ENTRADA,-3.2424252188925413,892.1669655423552,0.09180377212587396,0.12183790988650467,87.59136735738599,1,imerg
QUIMISTA,-1.351225523456241,938.6386192827746,0.09803921568627452,0.17853457172342618,79.18143909826783,1,imerg
LA CEIBA,-2.820879939573307,190966.57832747887,0.24210526315789474,0.30225563909774433,87.63153392239757,1,imerg
ROATAN,,,,,,1,imerg
TELA,-3.1377277654667584,140839.6043823892,0.15789473684210525,0.16240601503759397,86.37261313298976,1,imerg
BALFATE,-2.5960645792152555,100700.04748958808,0.18947368421052632,0.2796992481203007,82.60413077089737,1,imerg
